Phrase	NPQ	IDF	PMI	CMI
的 	 41.26377931023956 	 -0.03278982282299084 	 1000 	 -5.738589641392864
和 	 27.213533240376115 	 -0.03278982282299084 	 1000 	 -4.618621905459977
在 	 24.30924976049214 	 -0.03278982282299084 	 1000 	 -4.514494134533004
是 	 14.323782492181925 	 -0.03278982282299084 	 1000 	 -4.264291446775196
中 	 14.008064398124809 	 -0.03278982282299084 	 1000 	 -2.6683654234561396
了 	 13.649666222568419 	 -0.03278982282299084 	 1000 	 -4.605854777751323
对 	 13.625633564598289 	 -0.03278982282299084 	 1000 	 -4.1561548344106125
为 	 13.273231219470727 	 -0.03278982282299084 	 1000 	 -2.9925411797247783
等 	 12.61959996244793 	 -0.03278982282299084 	 1000 	 -4.744670336545897
与 	 12.60288975659328 	 -0.03278982282299084 	 1000 	 -3.8178157710498017
美国股票交易所市场价格指数和代表小公司的罗素2000指数 	 12.13863612139734 	 0.6286086594223741 	 7.207765076144116 	 -1000
将 	 11.598217081243895 	 -0.03278982282299084 	 1000 	 -4.733822753115603
巴勒斯坦民族权力机构主席阿拉法特 	 11.217355051133326 	 0.22314355131420976 	 7.2455276750978665 	 -1000
以 	 11.022699828132705 	 -0.03278982282299084 	 1000 	 -2.836025833354389
说 	 10.59060996830161 	 -0.03278982282299084 	 1000 	 -4.139765286149102
2 	 10.343224457918119 	 -0.03278982282299084 	 1000 	 -3.01598067855739
后 	 10.22280321653512 	 -0.03278982282299084 	 1000 	 -4.252678275318773
并 	 9.887817088632927 	 -0.03278982282299084 	 1000 	 -4.598604601752985
1 	 9.624918834196373 	 -0.03278982282299084 	 1000 	 -1.7878970341252067
从 	 9.483596980544457 	 -0.03278982282299084 	 1000 	 -4.307930095730205
上 	 9.480268945014906 	 -0.03278982282299084 	 1000 	 -2.7219033706619307
3 	 9.258221531722276 	 -0.03278982282299084 	 1000 	 -4.444607026115129
而 	 9.019493715361666 	 -0.03278982282299084 	 1000 	 -2.2936773308073866
一 	 9.008886199282728 	 -0.03278982282299084 	 1000 	 -3.5207880549135737
有 	 8.941560252654783 	 -0.03278982282299084 	 1000 	 -2.751368567997867
他 	 8.940158628865719 	 -0.03278982282299084 	 1000 	 -2.3492477418667783
也 	 8.929765650746193 	 -0.03278982282299084 	 1000 	 -5.376981980790058
但 	 8.917973451934044 	 -0.03278982282299084 	 1000 	 -5.319732072825811
到 	 8.916993234778593 	 -0.03278982282299084 	 1000 	 -3.8027510080594102
